Index,Variant,country,Region,Subregion,Notes,Countrycode,Type,Parent code,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
73,Medium variant,Mali,Africa,Western Africa,,466,Country/Area,914,16.3,17,17.8,18.6,19.4,20.4,21.5,22.7,23.9,25.1,26.4,27.7,28.9,30.1,31.3,32.4,33.5
74,Medium variant,Mauritania,Africa,Western Africa,,478,Country/Area,914,20.1,20.7,21.4,22.3,23.1,23.9,24.7,25.5,26.3,27.1,27.9,28.6,29.4,30.2,31,31.8,32.6
75,Medium variant,Niger,Africa,Western Africa,,562,Country/Area,914,15.2,15.6,16.1,16.7,17.4,18.2,19,20,21.2,22.3,23.5,24.7,26,27.2,28.5,29.7,31
76,Medium variant,Nigeria,Africa,Western Africa,,566,Country/Area,914,18.1,18.5,19.1,19.9,20.7,21.5,22.4,23.3,24.3,25.4,26.4,27.5,28.5,29.5,30.5,31.4,32.4
77,Medium variant,Senegal,Africa,Western Africa,,686,Country/Area,914,18.5,19.2,20.1,21.2,22.2,23.2,24.1,25,26,27.1,28.1,29.1,30.2,31.2,32.2,33.3,34.3
78,Medium variant,Sierra Leone,Africa,Western Africa,,694,Country/Area,914,19.4,20.3,21.5,22.7,23.9,25.2,26.5,27.8,29,30.3,31.5,32.7,33.9,34.9,35.9,36.9,37.7
79,Medium variant,Togo,Africa,Western Africa,,768,Country/Area,914,19.4,20.1,21.1,22,22.8,23.6,24.4,25.3,26.2,27.1,28.1,29,29.9,30.8,31.8,32.7,33.7
82,Medium variant,Algeria,Africa,Northern Africa,,12,Country/Area,912,28.5,29.6,30.3,30.8,32,33.4,34.9,36.7,38.2,39.6,40.5,41.1,41.7,42.6,43.6,44.8,45.8
83,Medium variant,Egypt,Africa,Northern Africa,,818,Country/Area,912,24.6,25.1,25.6,26.2,27.3,28.5,29.7,30.8,31.7,32.6,33.6,34.8,36,37.2,38.3,39.4,40.4
84,Medium variant,Libya,Africa,Northern Africa,,434,Country/Area,912,28.8,30.5,32.1,33.7,35.1,36.7,38.3,39.7,41,42,42.7,43.3,43.8,44.5,45.2,45.9,46.5
85,Medium variant,Morocco,Africa,Northern Africa,,504,Country/Area,912,29.5,31.2,32.7,34.1,35.4,36.7,38.2,39.8,41.2,42.6,43.7,44.7,45.6,46.4,47.3,48.1,48.9
86,Medium variant,Sudan,Africa,Northern Africa,,729,Country/Area,912,19.7,20.6,21.6,22.5,23.3,24.2,25.1,26.2,27.1,28.1,29.1,29.9,30.9,31.7,32.6,33.5,34.4
87,Medium variant,Tunisia,Africa,Northern Africa,,788,Country/Area,912,32.8,34.4,36.1,37.4,38.4,39.1,39.9,41.3,42.7,44,45,45.5,45.8,46.2,46.8,47.6,48.3
88,Medium variant,Western Sahara,Africa,Northern Africa,,732,Country/Area,912,28.4,30,31.3,32.5,33.7,34.8,35.9,37,38,38.9,39.6,40.3,40.9,41.5,42.1,42.6,43.1
90,Medium variant,Armenia,Asia,Western Asia,,51,Country/Area,922,35.4,37.5,39.8,41.7,42.8,43,43.2,44.1,45.4,46.6,47.4,47.5,47.2,47.1,47.5,48.2,48.9
91,Medium variant,Azerbaijan,Asia,Western Asia,4,31,Country/Area,922,32.3,34.6,36.8,38.5,39.3,39.6,40.3,41.7,43.1,44.3,44.9,45.1,45.4,46,46.6,47.1,47.4
92,Medium variant,Bahrain,Asia,Western Asia,,48,Country/Area,922,32.5,33.8,34.3,35.5,36.9,38,39.9,41.8,43.5,45,45.9,46.6,47,47.2,47,46.6,46.1
93,Medium variant,Cyprus,Asia,Western Asia,5,196,Country/Area,922,37.3,39.5,41.6,43.5,45.1,46.6,47.9,49.1,50,50.8,51.3,51.4,51.1,50.8,50.6,50.5,50.3
94,Medium variant,Georgia,Asia,Western Asia,6,268,Country/Area,922,38.3,39.2,40.4,41.3,41.5,40.8,40.9,41.8,42.8,43.7,44.2,44.4,44.7,45.3,46.2,47.2,48.1
95,Medium variant,Iraq,Asia,Western Asia,,368,Country/Area,922,21,22.1,23.1,24.2,25.4,26.5,27.5,28.6,29.7,30.8,31.9,32.9,34,35.1,36.2,37.3,38.3
96,Medium variant,Israel,Asia,Western Asia,,376,Country/Area,922,30.5,30.8,31.3,31.8,32.5,33.2,34.2,35.1,36,36.8,37.7,38.5,39.5,40.6,41.7,42.7,43.7
97,Medium variant,Jordan,Asia,Western Asia,,400,Country/Area,922,23.8,25.6,27.5,29.3,31.2,33.1,34.9,36.3,37.7,39.1,40.5,41.8,43.2,44.4,45.5,46.3,46.9
